Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity
1,0,0,0.232384391129017,0.00122287762853851
2,1,1.74,0.23233469799161,0.00121996017751985
3,1.99999999999999,3.47999999999999,0.232299848645926,0.00122287783633707
4,3,5.22,0.232250152528286,0.00122385058596074
5,4,6.96,0.232206267863512,0.00122630390679445
6,5,8.7,0.232165609300137,0.00121995921038522
7,6,10.44,0.22999951466918,0.00332258113943459
8,7,12.18,0.22785294726491,0.00337631090143297
9,8,13.92,0.226392912864685,0.00250907963464583
10,9,15.66,0.226351930201054,0.00251007582199431
11,10,17.4,0.225956793129444,0.00258687574635582
12,11,19.14,0.225918872654438,0.00267521916209967
13,12,20.88,0.225523574650288,0.00244099850826907
14,13,22.62,0.226182678341866,0.00314393233711465
15,14,24.36,0.226835811883211,0.0031192203428126
16,15,26.1,0.225011938810349,0.00313094408983158
17,16,27.84,0.222830680012703,0.00234782753768628
18,17,29.58,0.221331764757633,0.00273947575261632
19,18,31.32,0.219449482113123,0.00343949721367795
20,19,33.06,0.214634063839912,0.00252497072499835
21,20,34.8,0.212011357396841,0.0028260875899639
22,21,36.54,0.204093386232853,0.00288543393825242
23,22,38.28,0.198432183265686,0.0040958100312459
24,23,40.02,0.190610536932945,0.00383599161946933
25,24,41.76,0.184677302837372,0.0029635110198373
26,25,43.5,0.179583238065243,0.00317125865828063
27,26,45.24,0.176312886923552,0.00277447846744953
28,27,46.98,0.173010908812284,0.00290643384209315
29,28,48.72,0.171529573947191,0.00244174585545516
30,29,50.46,0.16772515848279,0.00291312052910162
31,30,52.2,0.165747036039829,0.0035858638634274
32,31,53.94,0.162947656214237,0.002628438842906
33,32,55.68,0.159900771826506,0.00268084080017435
34,33,57.42,0.157321792840958,0.00308037589546032
35,34,59.16,0.158369904756546,0.00324522326624022
36,35,60.9,0.161238989979029,0.0012813601184501
37,36,62.64,0.16120413467288,0.00128038402606694
38,37,64.38,0.163495271652937,0.0032137608142318
39,38,66.12,0.169317662715912,0.00128134926561441
40,39,67.86,0.170357065647841,0.00283950785438201
41,40,69.6,0.174666656553745,0.00253510961890819
42,41,71.34,0.181470200419426,0.00264327317890227
43,42,73.08,0.187983800470829,0.0027942008016981
44,43,74.82,0.194230853766203,0.00383110622514954
45,44,76.56,0.199415276199579,0.00550112039281952
46,45,78.3,0.203847172111273,0.00479079224525541
47,46,80.04,0.204912873357534,0.00603126022940247
48,47,81.78,0.206388558447361,0.00578451094332624
49,48,83.52,0.208586756885052,0.00487884174618739
50,49,85.26,0.210793669521809,0.00422146599966061
51,50,87,0.211850655823946,0.00515338836477723
