Dist_um,Background_Mean
0,NaN
0.6,NaN
1.2,NaN
1.8,NaN
2.4,NaN
3,NaN
3.6,NaN
4.2,NaN
4.8,NaN
5.4,NaN
6,NaN
6.6,NaN
7.2,NaN
7.8,NaN
8.4,NaN
9,NaN
9.6,NaN
10.2,NaN
10.8,NaN
11.4,NaN
12,NaN
