Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Line_21,Line_22,Line_23,Line_24,Line_25,Line_26,Line_27,Line_28,Line_29,Line_30,Mean,Std
0,125,125,126.137924194336,128.137939453125,129.517242431641,130.448272705078,131.137924194336,131.827590942383,132,132.206909179688,132.896545410156,133,133,133,133,133,133.034484863281,133.724136352539,134.413803100586,135.103454589844,135.793106079102,136,136,136,136,136,136,137.24137878418,138,138,133.020690409342,3.52614378923318
0.6,126,126.689659118652,127.379302978516,128.206893920898,130.275863647461,131.448272705078,132,132,132,132.206909179688,132.896545410156,133,132.724136352539,132.034484863281,132,132.344818115234,133.034484863281,133.724136352539,134.413803100586,135,135,135.482757568359,136,136,135.448272705078,135.24137878418,135.931030273438,136.620697021484,137,137,132.970114898682,2.98659335250832
1.2,127,127.689651489258,128.379302978516,129.068969726562,129.75862121582,130.448272705078,131.137924194336,131.827590942383,132,132,132,131.413787841797,131,131,131,131.344818115234,132.034484863281,132.724136352539,133.413803100586,134.103454589844,134.793106079102,135,135,135,135,135,135,135,135,135,132.304597473145,2.42276494744869
1.8,128,128.689651489258,129,129.068969726562,129.75862121582,130.448272705078,131,131,131,131,131,130.413787841797,130,130,130.655166625977,131.344818115234,132.034484863281,132.724136352539,133,133.103454589844,133.793106079102,134,134,134,134,134,134,134.620697021484,135,135,131.855172220866,2.06724951124862
2.4,128,128.689651489258,129.379302978516,130,130,130.448272705078,131.137924194336,131.827590942383,131.482757568359,130.793106079102,130.103454589844,130,130,130,131.310348510742,132,132.034484863281,132.724136352539,133,133,133,133,133,133,133.551727294922,134,134,134,134,134,131.716091918945,1.7549846247631
3,129,129.689651489258,130.379302978516,131.068969726562,131.75862121582,132,132,132,131.482757568359,131,131,130.413787841797,130.275848388672,130.965515136719,131.655166625977,132.344818115234,133.034484863281,133.724136352539,134,133.896545410156,133.206893920898,133.482757568359,134,134,134,134,134,134.620697021484,135,135,132.433331807454,1.67623693860105
3.6,132,132.689651489258,133,133.068969726562,133.75862121582,133.551727294922,133,133,133,133,133,132.413787841797,132,132,132.655181884766,133.344833374023,134.068954467773,135.448272705078,136,136,136,136,136,136,136,136,136,136.620697021484,136.689651489258,136,134.277011617025,1.65570439522759
4.2,136,136,136,136,136,136,135.862060546875,135.172424316406,135.517242431641,136,136,136,135.724136352539,135.034469604492,135.655166625977,136.344818115234,137.034484863281,137.724136352539,138.413787841797,139,139,139,139,139,139,139,139,139.620681762695,139.689651489258,139,137.226435343424,1.60442120609307
4.8,140,139.310333251953,139,139,139,138.551727294922,138,138,138.517242431641,139,139,139,139,139,139,139.689651489258,141.034469604492,141.724136352539,142.413787841797,143,143,143,143,143,142.448272705078,142.24137878418,142.931045532227,143,142.379302978516,141,140.574711608887,1.87633438671899
5.4,144,142.620697021484,142,141.931030273438,141.24137878418,141,141,141,141.517242431641,142,142,142,142,142,142,142.344833374023,143.034484863281,143.724136352539,144,144.103454589844,144.793106079102,145,145,145,145,145,145,144.379302978516,144,144,143.089655558268,1.44588436318262
6,145,144.310348510742,143.620681762695,143,143,143,143.137939453125,143.827590942383,144,144,144,144,144.275848388672,144.965515136719,145,145,145,145,145,145.103454589844,145.793106079102,146.482757568359,147,147,146.448272705078,145.75862121582,145.068969726562,145,145,145,144.759770202637,1.10687929539579
6.6,146,146,145.620697021484,145,145,145,145.137939453125,145.827590942383,146,146,146,146,146,146,146.655166625977,147,146.965515136719,146.275863647461,146,146,146,146.965515136719,148,148,147.448272705078,146.75862121582,146.068954467773,146,146.310348510742,147,146.234482828776,0.774844412007898
7.2,148,148,147.620697021484,146.931045532227,146.24137878418,146,146,146,146.517242431641,147.206893920898,147.896545410156,147.413787841797,147,147,147.655166625977,148,147.965515136719,147.275863647461,146.586212158203,146.103439331055,146.793106079102,147.482757568359,147.827590942383,147.137939453125,147,147,147,147,147.310348510742,148,147.132184346517,0.648098912318122
7.8,148,148,148,147.931030273438,147.24137878418,147,147,147,147,147.206893920898,147.896545410156,148,147.724136352539,147.034484863281,147.655166625977,148,147.965515136719,147.275863647461,146.586212158203,146,146,146.482757568359,147,147,147.551727294922,148,148,148,148,148,147.418390401204,0.622188942941396
8.4,149,149,148.620697021484,148,148,147.551727294922,147.137924194336,147.827590942383,148,148,148,148,148,148,148,148,147.965515136719,147.275863647461,146.586212158203,146,146,146.482757568359,147,147,147.551727294922,148,148,148.620697021484,148.689651489258,148,147.743678792318,0.771838638918668
9,149,149,149,149,149,149,149,149,149,149,149,149,148.724136352539,148.034484863281,148.655181884766,149,148.965515136719,148.275863647461,147.586212158203,147,147,147.482757568359,148,148,148,148,148,148.620697021484,149,149,148.511494954427,0.641613226701465
9.6,149,149,149,149.068969726562,149.75862121582,149.551727294922,149,149,149,149.206893920898,149.896545410156,150,149.72412109375,149.034484863281,149,149.344833374023,149.965515136719,149.275863647461,149,149,149,149,149,149,148.448272705078,148,148,148.620697021484,149,149,149.096551513672,0.475345373973761
10.2,150,150,149.620697021484,149.068969726562,149.75862121582,150,150,150,150,150.206893920898,150.896560668945,150.413787841797,150,150,150,150,150,150,150,150,150,150,149.827575683594,149.137924194336,148.448272705078,148,148,148.620697021484,149,149,149.666666666667,0.69074432999675
10.8,151,150.310348510742,149.620697021484,149,149,149.448272705078,150,150,150,150.206893920898,150.896560668945,151,150.724136352539,150.034484863281,150,150,150,150,150,150,150,150,149.827575683594,149.137924194336,149,149,149,149,149,149,149.80689646403,0.6316648586934
11.4,151,150.310348510742,149.620697021484,149,149,149.448272705078,150.137939453125,150.827590942383,151,151.206893920898,151.896545410156,151.413787841797,150.724136352539,150.034484863281,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150.187356567383,0.637161963644768
