Dist_um,Mean_I,Mean_I0,Mean_OD
0,127.314942528736,142.856572400663,0.0510413078967981
0.6,130.08275862069,143.01740433205,0.0416415359635279
1.2,134.418390804598,143.183625168967,0.0278362887399976
1.8,133.329885057471,143.354274132201,0.0318664644544007
2.4,126.052873563218,143.528470143508,0.0572472576058579
3,125.07816091954,143.705417980263,0.0610670126983544
3.6,127.720689655172,143.884409307401,0.0520833635566291
4.2,122.841379310345,144.064820499885,0.0700949222156463
4.8,120.810344827586,144.246108443158,0.0775448979288352
5.4,120.557471264368,144.427805086189,0.0789559331978526
6,119.722988505747,144.609511280535,0.0829042442794942
6.6,123.26091954023,144.790890289,0.0702298210928806
7.2,122.531034482759,144.971661245651,0.0733841468402125
7.8,119.688505747126,145.151592773491,0.0848325071733705
8.4,115.17816091954,145.33049690655,0.102167333633539
9,111.31724137931,145.50822341494,0.117000402117937
9.6,114.027586206897,145.684654592402,0.107479663452596
10.2,113.303448275862,145.859700534967,0.110487234355372
10.8,116.722988505747,146.033294915551,0.0980869555509236
11.4,113.316091954023,146.205391241827,0.112531139792421
12,109.388505747127,146.375959572562,0.127735919694024
12.6,110.340229885057,146.544983659813,0.124856651737772
13.2,113.850574712644,146.712458480054,0.111086695344732
13.8,112.03908045977,146.878388115624,0.119563488584877
14.4,109.12183908046,147.042783948077,0.130832710108447
15,106.358620689655,147.205663126584,0.141638716543959
15.6,113.275862068966,147.367047276898,0.115074208907211
16.2,115.42183908046,147.526961419257,0.107723338643138
16.8,109.027586206897,147.685433066699,0.133250589565803
17.4,104.744827586207,147.842491478316,0.150630553692972
18,108.255172413793,147.998167045014,0.136940743682354
18.6,106.441379310345,148.152490788105,0.14415566945591
19.2,104.944827586207,148.305493953637,0.151648455547263
19.8,105,148.457207687698,0.151168930781022
20.4,103.689655172414,148.60766277995,0.156933546731006
21,104.2,148.756889464502,0.155341458978503
21.6,104.868965517241,148.904917268758,0.152908207116652
22.2,99.551724137931,149.051774902312,0.176105270559862
22.8,101.827586206897,149.197490179076,0.167201394367141
23.4,98.9586206896552,149.342089966885,0.179141680483923
24,96.3517241379311,149.48560015968,0.191327453946993
24.6,97.3586206896552,149.628045668103,0.188850436249127
25.2,99.0413793103448,149.769450424983,0.180337239570036
25.8,100.186206896552,149.909837402724,0.17650809895162
26.4,93.8896551724138,150.04922864007,0.20428589566857
27,95.7931034482758,150.187645276099,0.196021273527026
27.6,94.6413793103448,150.325107589658,0.201769094560429
28.2,98.3586206896552,150.461635042707,0.185563221511282
28.8,92.6551724137931,150.597246326294,0.211563595117404
29.4,89.8551724137931,150.731959408102,0.225344022769502
30,98.7241379310345,150.865791580659,0.185248813687994
30.6,95.5379310344828,150.998759509476,0.199743785144889
31.2,96.9241379310345,151.130879280508,0.194374955181894
31.8,93.8413793103448,151.262166446416,0.209724392951324
32.4,98.0413793103448,151.392636071244,0.189498447404498
33,97.5712643678162,151.522302773178,0.194292306913174
33.6,97.0620689655172,151.651180765127,0.194749636932741
34.2,95.951724137931,151.779283892936,0.199850076682649
34.8,93.8206896551724,151.906625671084,0.210478355404065
35.4,90.6689655172414,152.033219315763,0.225989717051428
36,93.5793103448276,152.15907777527,0.211924858943127
36.6,94.5793103448276,152.284213757678,0.207815290346768
37.2,96.4689655172414,152.408639755765,0.199387644053519
37.8,94.0827586206896,152.53236806923,0.211297845836811
38.4,98.4827586206896,152.655410824192,0.192632543341244
39,94.9655172413793,152.777779990031,0.20871170890817
39.6,100.206896551724,152.899487393614,0.184779007059298
40.2,99.7586206896552,153.020544730956,0.186857189677104
40.8,98.8413793103449,153.140963576381,0.191405854126019
41.4,97.0689655172414,153.260755389248,0.200248986346444
42,92.6068965517241,153.379931518302,0.220370320859599
42.6,96.4068965517241,153.498503203722,0.202962032310368
43.2,96.7655172413793,153.616481576928,0.202503700181337
43.8,95.8758620689655,153.733877658215,0.206444536589232
44.4,95.8068965517242,153.850702352264,0.206268874144619
45,96.7310344827586,153.966966441603,0.202490752525664
45.6,92,154.08268057807,0.225246167050205
46.2,92.4275862068966,154.197855272318,0.22448591525975
46.8,91.9655172413793,154.312500881437,0.226200175817979
47.4,98.6137931034483,154.426627594711,0.195224749424543
48,99.6827586206897,154.540245417583,0.191609968075207
48.6,94.7448275862069,154.653364153855,0.213832666878995
49.2,92.2413793103449,154.765993386171,0.226687964869535
49.8,90.7172413793104,154.878142454842,0.23424270911469
50.4,89.8068965517241,154.989820435036,0.238315131205961
51,94.3793103448276,155.101036112415,0.21776105871032
51.6,93.8068965517242,155.211797957261,0.220197629590964
52.2,90.8551724137932,155.322114097171,0.233761878941459
52.8,93.5310344827586,155.431992288396,0.221351041520184
53.4,96.1655172413793,155.541439885925,0.210014922753543
54,93.2689655172414,155.650463812441,0.223024696554782
54.6,96.0965517241379,155.759070526271,0.210432677883886
55.2,94.4965517241379,155.86726598851,0.217912689264363
55.8,98.6206896551725,155.975055629519,0.199574542140542
56.4,104.344827586207,156.082444315027,0.176189084026326
57,102.186206896552,156.189436312124,0.184540843912608
57.6,99.4344827586207,156.296035255474,0.196929496644773
58.2,99.3379310344827,156.402244114129,0.197935844976682
58.8,98.4206896551724,156.508065159405,0.201964550089132
59.4,99.1862068965517,156.613499934339,0.199990196508212
60,103.034482758621,156.718549225329,0.183602646216365
60.6,104.750574712644,156.823213036679,0.176290656575077
