Sample,X,Y,Dist_px,Intensity
1,40,55,0,23677
2,41,55,1,23615
3,42,55,2.00000000000001,23590
4,43,55,3,23603
5,44,55,4,23628
6,45,55,5,23670
7,46,55,6,23729
8,47,55,7,23575
9,48,55,8,23148
10,49,55,9,23091
11,50,55,10,22947
12,51,55,11,22730
13,52,55,12,22962
14,53,55,13,23126
15,54,55,14,23217
16,55,55,15,23507
17,56,55,16,23606
18,57,55,17,23557
19,58,55,18,23851
20,59,55,19,24012
21,60,55,20,24065
22,61,55,21,24377
23,62,55,22,24562
24,63,55,23,24410
25,64,55,24,24612
26,65,55,25,24629
