Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Line_21,Line_22,Line_23,Line_24,Line_25,Line_26,Line_27,Line_28,Line_29,Line_30,Mean,Std
6,107,115.275863647461,119,119,119,113.620697021484,108.655174255371,116.931037902832,127.793106079102,136,136,129.551727294922,123.344818115234,119.206901550293,122.931037902832,125,124.793098449707,120.655166625977,114.034484863281,108.241386413574,116.517242431641,121.896545410156,125,125,115.068969726562,107,107,118.172409057617,125,125,119.722988891602,7.78780510505158
6.6,119,123.137939453125,125,124.586204528809,120.448280334473,119,119,119,124.689651489258,132.482757568359,140.75862121582,132.034484863281,123.344818115234,119.206901550293,119,119,119,119,121.482757568359,124.379318237305,120.24137878418,121.896545410156,125,125,125,125,125,125,123.137939453125,119,123.260919952393,4.90014002370938
7.2,125,128.448272705078,130,129.655181884766,126.206893920898,127.24137878418,129.310333251953,125.86206817627,125,125,125,125,123.344818115234,119.206901550293,119,114.86206817627,107.413787841797,115.689651489258,121.482757568359,124.379318237305,120.24137878418,121.896545410156,125,125,121.689659118652,119,119,119,119,119,122.531033833822,4.94282908048891
7.8,125,125,125,125,125,129.931030273438,135.172409057617,131.034484863281,124.310348510742,119,119,122.517242431641,125,125,121.068969726562,114.86206817627,107,107,111.965522766113,119,119,121.896545410156,123.965515136719,119.827583312988,109.068969726562,101,101,112.172416687012,120.862075805664,125,119.688506062826,8.36565107457259
8.4,119,123.137939453125,122.724136352539,119.413795471191,123.551719665527,127.24137878418,128.482757568359,120.896553039551,112.793106079102,110.724136352539,123.13793182373,121.482757568359,119,119,111.13793182373,102.86206817627,95.2068939208984,99.3448333740234,108.448280334473,119,119,119,116.931030273438,108.655174255371,103.689651489258,102.448272705078,106.586204528809,114.448272705078,119,119,115.178160858154,8.48108176142883
9,119,119,112.172409057617,102.24137878418,114.655174255371,121.689659118652,122.517242431641,110.103446960449,107,109.482757568359,117.75862121582,111.965515136719,107,107,114.86206817627,114.86206817627,107,107,104.517242431641,101.620697021484,105.75862121582,107,107,107,107,107,107,114.448272705078,120.862075805664,125,111.317241668701,6.38293388187184
9.6,125,120.862075805664,112.172409057617,101.413795471191,105.551719665527,115.068969726562,124.172416687012,120.034484863281,119,119,119,111.965515136719,107,107,118.793106079102,125,124.793098449707,120.655166625977,114.034484863281,108.241386413574,116.517242431641,121.896545410156,121.896545410156,109.482757568359,103.689651489258,101,101,101,106.586212158203,119,114.027586110433,8.09854288418201
10.2,119,119,114.448272705078,107.827583312988,116.103454589844,121.689659118652,124.172416687012,120.034484863281,119,120.24137878418,124.379318237305,114.448272705078,107,107,107,107,107,107,111.965522766113,119.620697021484,123.75862121582,122.103439331055,116.931030273438,108.655174255371,103.689651489258,102.448272705078,106.586204528809,107,107,107,113.303448486328,6.99402333868439
10.8,107,107,111.551719665527,119,119,123.931037902832,130,130,124.310348510742,120.24137878418,124.379318237305,121.482757568359,119,119,122.931037902832,122.931037902832,119,119,119,119,119,113.206893920898,107,107,107,107,107,114.448272705078,115.275863647461,107,116.722988891602,7.14901538556939
11.4,107,102.86206817627,101,102.24137878418,114.655174255371,123.931037902832,129.310333251953,125.86206817627,125,125,125,114.448272705078,110.310348510742,118.586212158203,119,119,119,119,121.482757568359,124.379318237305,120.24137878418,110.310348510742,102.034484863281,106.172416687012,103.689651489258,98.1034469604492,89.8275833129883,96.4482727050781,106.586212158203,119,113.316092173258,10.4887065782561
