Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity,MinIntensity
1,0,0,149.934483337402,0.219464634078357,149
2,1,0.6,149.934483337402,0.219464634078357,149
3,2,1.2,149.934483337402,0.219464634078357,149
4,3,1.8,149.934483337402,0.219464634078357,149
5,4,2.4,149.934483337402,0.219464634078357,149
6,5,3,149.934483337402,0.219464634078357,149
7,6,3.6,149.934483337402,0.219464634078357,149
8,7,4.2,149.934483337402,0.219464634078357,149
9,8,4.8,149.934483337402,0.219464634078357,149
10,9,5.4,149.934483337402,0.219464634078357,149
11,10,6,149.934483337402,0.219464634078357,149
