Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity
1,0,0,22424.1922851562,60.2021785160974
2,1,1.74,22428.5420898438,63.4320176840386
3,2,3.48,22444.1970703125,69.2846980908774
4,3,5.22,22455.7579101563,68.9794790754173
5,4,6.96,22465.1158203125,85.8133228373248
6,5,8.7,22457.9002929687,84.5699142070316
7,6,10.44,22440.873828125,84.9559409814246
8,7,12.18,22425.24453125,83.1264472249124
9,8,13.92,22416.9791015625,75.853524874712
10,9,15.66,22413.2630859375,59.1267908935705
11,10,17.4,22412.7762695312,50.1993705540272
12,11,19.14,22410.4159179687,48.5378556467437
13,12,20.88,22400.81015625,67.0007074461069
14,13,22.62,22367.0947265625,70.0623860379086
15,14,24.36,22331.2553710938,78.0357069349936
16,15,26.1,22304.4264648437,79.384080361666
17,16,27.84,22287.7526367187,89.4271360081812
18,17,29.58,22263.06328125,91.4526481145557
19,18,31.32,22231.1787109375,92.2689398248265
20,19,33.06,22197.6370117188,97.1872790797007
21,20,34.8,22156.4000976562,99.854885385372
22,21,36.54,22107.9393554687,82.4872785393501
23,22,38.28,22060.470703125,66.2118104449955
24,23,40.02,22026.5263671875,54.7813100785571
25,24,41.76,21996.3791992188,53.649765903136
26,25,43.5,21978.8315429688,50.682205540116
27,26,45.24,21964.6446289063,48.5618854170898
28,27,46.98,21945.726171875,49.7228223337087
29,28,48.72,21917.2418945312,56.2640201885526
30,29,50.46,21861.402734375,47.2067401861413
31,30,52.2,21798.9580078125,45.2127766650698
32,31,53.94,21744.5443359375,51.6755622187252
33,32,55.68,21695.4948242187,52.7497911048039
34,33,57.42,21637.5051757813,66.8398091139962
35,34,59.16,21570.2866210938,81.5982088461142
36,35,60.9,21477.258203125,95.8107430938238
37,36,62.64,21359.1655273438,105.495175004376
38,37,64.38,21217.9629882813,94.1049299225257
39,38,66.12,21069.1604492188,97.0690086097197
40,39,67.86,20915.6974609375,97.2947541704677
41,40,69.6,20787.2630859375,100.772710609388
42,41,71.34,20657.3630859375,93.8232361754688
43,42,73.08,20550.8104492187,80.0056844109106
44,43,74.82,20446.6102539062,74.0866395989023
45,44,76.56,20365.7603515625,68.4285621565158
46,45,78.3,20307.12109375,49.9878073633331
47,46,80.04,20241.8340820313,44.928369790589
48,47,81.78,20183.0580078125,53.8597729235558
49,48,83.52,20133.926171875,64.8553061248682
50,49,85.26,20095.6446289063,81.5975425647279
51,50,87,20071.7157226562,94.5457832347117
52,51,88.74,20050.1712890625,109.504534527969
53,52,90.48,20033.2369140625,115.469290321531
54,53,92.22,20015.21796875,111.669103057884
55,54,93.96,19993.9051757812,106.092657054845
56,55,95.7,19977.8392578125,95.7680562746147
57,56,97.44,19971.6577148438,77.4575815220571
58,57,99.18,19977.2920898438,63.687467013943
59,58,100.92,19992.410546875,60.1341735793901
60,59,102.66,20006.226171875,55.3472844069382
61,60,104.4,20038.1920898437,62.038453084036
62,61,106.14,20072.1737304687,65.6019445945051
63,62,107.88,20120.3553710937,77.5124115115743
64,63,109.62,20186.8078125,96.4851479470591
65,64,111.36,20294.5340820312,127.742178004481
66,65,113.1,20437.1076171875,163.811274023181
67,66,114.84,20616.1788085938,202.387375696952
68,67,116.58,20783.1946289063,234.868749395458
69,68,118.32,20963.34453125,254.703865635622
70,69,120.06,21101.4870117187,264.65879325112
71,70,121.8,21238.266015625,256.61763326651
72,71,123.54,21374.1998046875,251.893249122512
73,72,125.28,21495.2157226562,236.028215354625
74,73,127.02,21596.2971679688,211.807616211063
75,74,128.76,21690.8237304688,187.131549966273
76,75,130.5,21765.2447265625,156.933069221998
77,76,132.24,21808.3630859375,133.964343186542
78,77,133.98,21827.3237304688,116.984229268407
79,78,135.72,21830.458203125,93.4140081475493
80,79,137.46,21852.9630859375,82.7096195694865
81,80,139.2,21887.6893554687,73.4287440114331
