Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Mean,Std
0,22457,22471.369140625,22387.47265625,22314.89453125,22320.68359375,22316.947265625,22258.68359375,22130.630859375,22054.68359375,22077.2109375,22015.474609375,21956.68359375,21947.158203125,21929.7890625,21833.6328125,21740.052734375,21753.578125,21766.947265625,21666.947265625,21597,22049.8419921875,273.412418501274
1.74,22457,22472.2109375,22388.26171875,22316.68359375,22288.73828125,22291.68359375,22191.578125,22049.47265625,21989.2109375,22026.791015625,21921.2109375,21868,21912.578125,21911.525390625,21766.263671875,21638.3671875,21683.369140625,21723.685546875,21628.2109375,21535,22002.9920898437,294.394264875235
3.48,22449,22486,22429.630859375,22295.10546875,22245.68359375,22220.73828125,22131.26171875,21972.580078125,21914,21979.263671875,21857.791015625,21776.73828125,21859.158203125,21876.841796875,21704.16015625,21552.47265625,21617.947265625,21680.369140625,21564.314453125,21510,21956.1528320312,314.294053477078
5.22,22453,22436.10546875,22360.3671875,22262.369140625,22186.84375,22120.2109375,22047.68359375,21950.578125,21854.474609375,21863.578125,21815.16015625,21769.421875,21808.10546875,21782.525390625,21655.580078125,21515.10546875,21515.3671875,21542.369140625,21517.89453125,21480,21896.8370117188,320.15064529811
6.96,22407,22360.578125,22299.2109375,22229.68359375,22107.2109375,22014.26171875,21960.10546875,21901.578125,21818.578125,21809.10546875,21739,21732.26171875,21767.7890625,21721.7890625,21612.31640625,21486.3671875,21429.7890625,21435.89453125,21471.15625,21414,21835.8837890625,319.808151440457
8.7,22365,22290.10546875,22199,22134.630859375,22012.263671875,21884.10546875,21866.263671875,21847.47265625,21774,21743.2109375,21695.474609375,21709.369140625,21700.47265625,21624.314453125,21558.474609375,21468.10546875,21339.052734375,21344.26171875,21400.158203125,21401,21767.8368164062,311.214617862379
10.44,22340,22238.841796875,22115.208984375,22050.947265625,21944.3671875,21808.68359375,21793,21814,21754.263671875,21702.419921875,21683.474609375,21695.736328125,21660.369140625,21573.947265625,21539.2109375,21465.3671875,21311.52734375,21279.15625,21358.685546875,21397,21726.3103515625,300.243146037289
12.18,22252,22170.89453125,22040.2109375,21923.2109375,21844.7890625,21771.841796875,21728.68359375,21712.578125,21698.421875,21684.580078125,21621.7890625,21606.6328125,21604.47265625,21558.3671875,21464.369140625,21358.578125,21293.3671875,21273.685546875,21321.580078125,21351,21664.0526367187,283.002859084114
13.92,22161,22140,21976.736328125,21786.474609375,21761.6328125,21764,21692.578125,21627.580078125,21631,21663.578125,21594.158203125,21536.26171875,21546.630859375,21534.89453125,21415.68359375,21300,21266.630859375,21258.7890625,21248.6328125,21284,21609.5130859375,274.782285776782
15.66,22023,22065,21886.841796875,21696.736328125,21672,21732.10546875,21617.73828125,21555.47265625,21561.947265625,21599.68359375,21528.47265625,21436.68359375,21483.052734375,21502.15625,21331.31640625,21225.841796875,21231.47265625,21260.89453125,21231.791015625,21222,21543.2103515625,255.997597777317
17.4,21860,21967.578125,21845.841796875,21621.84375,21593.052734375,21692.421875,21582.3671875,21450.578125,21476.052734375,21544.158203125,21441,21348.89453125,21423.736328125,21437.841796875,21240.263671875,21128.52734375,21197.31640625,21261.73828125,21185.7890625,21146,21472.2500976563,244.797978704657
19.14,21739,21764.421875,21702.630859375,21581.10546875,21550.15625,21568.2109375,21531.841796875,21437.052734375,21401.630859375,21449.47265625,21369.158203125,21302.31640625,21316.630859375,21311.578125,21189.52734375,21108.369140625,21132.841796875,21188,21142.421875,21101,21394.368359375,214.008883955063
20.88,21639,21651.525390625,21620.05078125,21550.73828125,21507.52734375,21507.630859375,21476.158203125,21406.3671875,21340.68359375,21328.68359375,21271.791015625,21248.947265625,21259,21231.314453125,21137.7890625,21086.947265625,21110.26171875,21167.580078125,21137.158203125,21101,21339.0077148437,192.698538681651
22.62,21572,21551,21531.841796875,21519.263671875,21458.52734375,21443.2109375,21440.474609375,21407.578125,21291.263671875,21238.47265625,21204.7890625,21232.7890625,21198.630859375,21151.68359375,21121.947265625,21105.6328125,21103.525390625,21147.841796875,21144.630859375,21109,21298.7051757813,171.264534561534
24.36,21564,21499.314453125,21477.47265625,21494.158203125,21459.15625,21409.263671875,21425.578125,21399.10546875,21277.7890625,21185.736328125,21154.31640625,21197.052734375,21173.630859375,21130,21123.6328125,21143.841796875,21146.10546875,21172.841796875,21169.630859375,21138,21287.0313476563,156.766276549795
26.1,21522,21508.2109375,21454.314453125,21428.947265625,21424.52734375,21401,21397.421875,21372.2109375,21283.89453125,21189.525390625,21134.2109375,21165.052734375,21197,21177.052734375,21147.73828125,21182.68359375,21218.369140625,21226.421875,21201,21176,21290.3791015625,131.734451842344
27.84,21485,21529.578125,21462.736328125,21388.89453125,21380.841796875,21404.052734375,21418.263671875,21356.89453125,21279.263671875,21260.10546875,21182.474609375,21197.630859375,21215.578125,21225.2109375,21204,21232.94921875,21261.73828125,21260.474609375,21223.2109375,21205,21308.694921875,108.84159202443
29.58,21455,21518.314453125,21476.3671875,21347.31640625,21348.52734375,21391.947265625,21377,21338.47265625,21300.31640625,21329.580078125,21232.474609375,21208.947265625,21269.578125,21301.26171875,21243.16015625,21261.47265625,21326.2109375,21335.474609375,21272.31640625,21263,21329.8369140625,82.3638767641256
31.32,21418,21501.841796875,21462.89453125,21314.31640625,21296.421875,21383.421875,21391.89453125,21340,21337.630859375,21420.89453125,21286.474609375,21241.947265625,21320.89453125,21357.525390625,21316.263671875,21315.47265625,21406.10546875,21441.10546875,21359.421875,21322,21361.7263671875,65.3878301492571
33.06,21389,21446.47265625,21421.7890625,21301.31640625,21273.52734375,21339.3671875,21366.31640625,21350.525390625,21390.31640625,21401,21365.369140625,21319.89453125,21373,21400.578125,21383.052734375,21412.52734375,21465.369140625,21464,21402.68359375,21384,21382.5052734375,49.8119436515488
34.8,21376,21417.47265625,21415.68359375,21323.10546875,21266.15625,21308,21337.736328125,21384.52734375,21423.31640625,21446.7890625,21408.369140625,21385.369140625,21444.89453125,21451.421875,21450.84375,21471.15625,21515.263671875,21516.314453125,21472.421875,21472,21414.3420898438,67.2736520906705
36.54,21389,21405.419921875,21391.314453125,21348.47265625,21304.578125,21297,21341.369140625,21417.31640625,21457.10546875,21468,21458.791015625,21470.685546875,21498.052734375,21501,21507.369140625,21545.947265625,21561.263671875,21542.158203125,21527.369140625,21547,21448.9606445312,83.1670866075333
38.28,21397,21409,21408.736328125,21374.6328125,21353.68359375,21310.947265625,21347.736328125,21429.841796875,21479.369140625,21488.7890625,21518.421875,21542.31640625,21568,21569.47265625,21580.0546875,21618,21620.52734375,21589.841796875,21589.419921875,21610,21490.2895507812,102.972872005814
40.02,21405,21441.10546875,21455.15625,21414,21402.263671875,21363.05078125,21379.421875,21455.89453125,21502.474609375,21550.158203125,21589.6328125,21603,21647.841796875,21657.26171875,21647,21643,21664,21659.15625,21641.736328125,21651,21538.6077148438,112.813218614865
41.76,21426,21490.68359375,21491.52734375,21467,21477.84375,21458.84375,21466.2109375,21512.841796875,21561.947265625,21620.68359375,21687.896484375,21691.685546875,21724.578125,21752.68359375,21705.578125,21692.158203125,21712.841796875,21698.89453125,21676,21677,21599.644921875,113.025449072665
43.5,21439,21523.68359375,21568,21539,21538.369140625,21552.89453125,21545.52734375,21573.947265625,21611.947265625,21687.474609375,21751.31640625,21747.578125,21801.158203125,21837.9453125,21782.52734375,21739.84375,21769.10546875,21765.68359375,21717.0546875,21706,21659.9028320312,116.483029339285
45.24,21459,21563.421875,21652.421875,21607.3671875,21629.578125,21662.31640625,21668.7890625,21639.841796875,21708.2109375,21782.7890625,21833.47265625,21809.31640625,21900.10546875,21933.525390625,21844.31640625,21779.31640625,21802,21833.31640625,21774.2109375,21764,21732.3658203125,120.035570591575
46.98,21535,21602.68359375,21675.578125,21673.578125,21697.841796875,21724.3671875,21726.2109375,21755.31640625,21795.3671875,21838.158203125,21901.7890625,21910,21965.52734375,21988.7890625,21913.263671875,21848.89453125,21818,21845.263671875,21833.2109375,21818,21793.3419921875,119.060308376587
48.72,21597,21645.10546875,21732.26171875,21737.736328125,21784.630859375,21783.10546875,21804.947265625,21837.10546875,21876.474609375,21917.421875,21937.2109375,21966.052734375,22031.841796875,22042.525390625,21978.89453125,21884,21837.630859375,21868.578125,21879.73828125,21868,21850.5130859375,116.827432645671
50.46,21685,21705.05078125,21764.421875,21794.158203125,21848.47265625,21849.89453125,21866.736328125,21929.474609375,21958.158203125,21993.31640625,22027.421875,22055.369140625,22090,22096.10546875,22048.421875,21959.84375,21867.89453125,21884.580078125,21917.630859375,21935,21913.8475585937,119.771308577369
52.2,21781,21789.419921875,21811.68359375,21856.263671875,21911.68359375,21909.7890625,21923.263671875,22004.736328125,22040.736328125,22080.15625,22102.2109375,22130.3671875,22149.89453125,22141.736328125,22099.16015625,22024.73828125,21929.421875,21927.419921875,21948.421875,21994,21977.8051757812,117.406073193247
53.94,21856,21889.525390625,21897.998046875,21894.158203125,21963.15625,21973.2109375,21994,22024.052734375,22103.158203125,22171.26171875,22168.31640625,22165.6328125,22200.158203125,22191.052734375,22132.369140625,22052.2109375,21999.158203125,21990,21979.2109375,22019,22033.1815429687,109.702859136002
55.68,21948,22000.736328125,21981.83984375,21949.630859375,22009.7890625,22054.10546875,22061.263671875,22063.841796875,22161.158203125,22250.68359375,22281.841796875,22231.421875,22243.630859375,22251,22168.369140625,22101.578125,22068.89453125,22066.685546875,22039.841796875,22048,22099.115625,106.587908054536
57.42,22015,22080.15625,22061,22029.421875,22078.47265625,22102.2109375,22095.47265625,22084.47265625,22200.474609375,22300.7890625,22304.7890625,22257.052734375,22276.419921875,22280.3671875,22172.421875,22098.841796875,22132,22151.578125,22093.052734375,22065,22143.9497070312,93.7788791994067
59.16,22086,22152.947265625,22160.158203125,22109.6328125,22123.68359375,22178.10546875,22159.47265625,22105.419921875,22239.7890625,22358.7890625,22350.791015625,22244,22284.10546875,22299.26171875,22182.369140625,22101.15625,22169.31640625,22233.263671875,22131.421875,22077,22187.3341796875,85.5339425674967
