Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Mean,Std
0,22582,22460.685546875,22390.83984375,22388.630859375,22415,22425.84375,22445.68359375,22430.947265625,22388.685546875,22317.2109375,22331.791015625,22381.052734375,22456.158203125,22476.9453125,22494.0546875,22491.89453125,22429.73828125,22401.10546875,22393.578125,22382,22424.1922851562,60.2021785160974
1.74,22557,22493.2109375,22432.2109375,22387.47265625,22415.841796875,22449.15625,22464.73828125,22439.421875,22407,22342,22299.791015625,22352.68359375,22449.525390625,22499.421875,22495.73828125,22476.15625,22450.630859375,22429.68359375,22385.158203125,22344,22428.5420898438,63.4320176840386
3.48,22561,22542.3671875,22464.15625,22385,22427.3671875,22480.052734375,22514.7890625,22471.421875,22431.314453125,22396,22351,22369.578125,22442.2109375,22512.47265625,22508.52734375,22485.3671875,22473.89453125,22414.369140625,22330.052734375,22323,22444.1970703125,69.2846980908774
5.22,22545,22552.578125,22477.158203125,22420.578125,22440.841796875,22506,22530.947265625,22482.47265625,22459.68359375,22477.7890625,22388.0546875,22360.31640625,22433.474609375,22525.89453125,22506,22463.31640625,22480.6328125,22429.947265625,22331.47265625,22303,22455.7579101563,68.9794790754173
6.96,22524,22533.369140625,22536.369140625,22420.10546875,22441.26171875,22532.10546875,22561.7890625,22493.26171875,22509.7890625,22559.474609375,22441.6328125,22372.369140625,22451.525390625,22549.2109375,22491.31640625,22434.31640625,22469.89453125,22440.841796875,22312.68359375,22227,22465.1158203125,85.8133228373248
8.7,22540,22505.736328125,22488.68359375,22413.52734375,22431.6328125,22515.158203125,22566.263671875,22545,22521.263671875,22515.26171875,22492.10546875,22422.630859375,22432.158203125,22494.7890625,22477.94921875,22459.73828125,22440,22378.685546875,22294.421875,22223,22457.9002929687,84.5699142070316
10.44,22524,22473.052734375,22463.47265625,22421.3671875,22410,22477.158203125,22531.736328125,22553.2109375,22527.3671875,22511.2109375,22481.580078125,22432.685546875,22415.84375,22443.10546875,22456.7890625,22451.31640625,22399.052734375,22351.578125,22294.94921875,22198,22440.873828125,84.9559409814246
12.18,22536,22465.525390625,22428,22401.89453125,22401.158203125,22428.3671875,22492.73828125,22564,22513.68359375,22470.7890625,22484.896484375,22451.7890625,22390.841796875,22393.734375,22430.10546875,22437.052734375,22388.630859375,22334.10546875,22276.578125,22215,22425.24453125,83.1264472249124
13.92,22540,22473.158203125,22405.31640625,22378.263671875,22391.47265625,22405.052734375,22467.31640625,22564.841796875,22500.2109375,22429.947265625,22473.31640625,22452.421875,22380.47265625,22357,22399.73828125,22435.3671875,22391.369140625,22342.10546875,22300.2109375,22252,22416.9791015625,75.853524874712
15.66,22507,22486.947265625,22420.630859375,22350.841796875,22365.2109375,22410.2109375,22454.47265625,22509.947265625,22482.6328125,22453.841796875,22436.421875,22423.2109375,22386.3671875,22361,22378.73828125,22424.841796875,22397.89453125,22390.841796875,22342.208984375,22282,22413.2630859375,59.1267908935705
17.4,22478,22495.841796875,22425.89453125,22320.15625,22333.05078125,22406.2109375,22443,22453.369140625,22455.736328125,22486.474609375,22434.052734375,22404.947265625,22380.89453125,22391.947265625,22384.791015625,22410.3671875,22418.736328125,22432.421875,22367.6328125,22332,22412.7762695312,50.1993705540272
19.14,22444,22488.736328125,22428.2109375,22315.10546875,22296.52734375,22402.369140625,22412.47265625,22414.421875,22440.841796875,22485.10546875,22417.68359375,22379.26171875,22392.578125,22418.7890625,22398.94921875,22391.47265625,22420.2109375,22471.73828125,22428.84375,22361,22410.4159179687,48.5378556467437
20.88,22432,22463.2109375,22416.630859375,22280.73828125,22253.26171875,22346.47265625,22396.26171875,22373.47265625,22429.419921875,22498.10546875,22425.580078125,22343.947265625,22392.578125,22455.7890625,22378,22337.47265625,22433.578125,22524.841796875,22444.841796875,22390,22400.81015625,67.0007074461069
22.62,22415,22410.158203125,22353.630859375,22235.89453125,22197.15625,22268.6328125,22348.841796875,22348.525390625,22380,22427.791015625,22392.263671875,22357,22359.10546875,22370.05078125,22355.474609375,22351.52734375,22411.10546875,22472.947265625,22479.7890625,22407,22367.0947265625,70.0623860379086
24.36,22357,22336,22312.630859375,22200.47265625,22160.2109375,22214.158203125,22269.421875,22313.578125,22342.7890625,22360.31640625,22329.947265625,22335.369140625,22348,22354.47265625,22324.94921875,22325.89453125,22390.2109375,22463.73828125,22478.947265625,22407,22331.2553710938,78.0357069349936
26.1,22336,22290.947265625,22249.630859375,22179.736328125,22144.6328125,22157.578125,22240.052734375,22305.47265625,22312.263671875,22286.630859375,22311.2109375,22346.10546875,22329.052734375,22320.05078125,22307.73828125,22348.84375,22387.369140625,22424.421875,22437.791015625,22373,22304.4264648437,79.384080361666
27.84,22323,22268.15625,22202.578125,22145.052734375,22132.2109375,22128.158203125,22198.052734375,22268.31640625,22276.31640625,22240.6328125,22287.947265625,22372.369140625,22348.525390625,22317.9453125,22321.158203125,22372.158203125,22386,22402.580078125,22410.89453125,22353,22287.7526367187,89.4271360081812
29.58,22282,22249.3671875,22179.68359375,22102,22116.52734375,22138.263671875,22159.158203125,22205.68359375,22236,22235.31640625,22254.2109375,22294.580078125,22343.7890625,22324.841796875,22307.73828125,22332,22375.158203125,22416.47265625,22385.474609375,22323,22263.06328125,91.4526481145557
31.32,22248,22228.841796875,22140.208984375,22055.68359375,22081.84375,22142.052734375,22160.841796875,22131.052734375,22168.3671875,22222.369140625,22242.685546875,22246.6328125,22319.47265625,22324.26171875,22293,22295.68359375,22354.47265625,22383.26171875,22327.841796875,22257,22231.1787109375,92.2689398248265
33.06,22211,22200.736328125,22117.10546875,22008.841796875,22049.52734375,22157.3671875,22129.263671875,22053.052734375,22109,22216.791015625,22190.2109375,22199.158203125,22267.947265625,22311,22275.10546875,22270.263671875,22325.369140625,22354.31640625,22295.68359375,22211,22197.6370117188,97.1872790797007
34.8,22136,22156.525390625,22105.525390625,21989.89453125,22025.578125,22147,22117.630859375,21981.10546875,22062.474609375,22162.369140625,22139.52734375,22108.6328125,22204.578125,22271.26171875,22230.0546875,22214.158203125,22305.841796875,22361.421875,22252.421875,22156,22156.4000976562,99.854885385372
36.54,22102,22089.578125,22058.68359375,21975.52734375,21994.052734375,22107.15625,22075.47265625,21982.52734375,22007.736328125,22071.263671875,22110.31640625,22091.263671875,22138.89453125,22179.525390625,22154.84375,22171.947265625,22242.841796875,22272.15625,22206,22127,22107.9393554687,82.4872785393501
38.28,22060,22027.419921875,22010.578125,21967.6328125,21986.26171875,22042.263671875,22030.26171875,21978.474609375,21992,22013,22033,22043.158203125,22082.578125,22101.736328125,22097.10546875,22112.47265625,22170.47265625,22204.26171875,22154.736328125,22102,22060.470703125,66.2118104449955
40.02,22052,21983.736328125,21971.10546875,21944.3671875,21963.7890625,21989.73828125,21984.31640625,21995.052734375,21989.2109375,21968.52734375,22019.421875,22035,22029.947265625,22029.947265625,22049.68359375,22100.47265625,22116.263671875,22115,22102.947265625,22090,22026.5263671875,54.7813100785571
41.76,22040,21971.2109375,21942.9453125,21907.158203125,21935.6328125,21933.10546875,21943.2109375,21982.89453125,21973.630859375,21951.580078125,22009.580078125,22022.3671875,21993.52734375,21970.47265625,22006.0546875,22075.052734375,22074.263671875,22061.0546875,22073.841796875,22060,21996.3791992188,53.649765903136
43.5,22006,21971.630859375,21928.47265625,21880.7890625,21921.31640625,21912.84375,21923,21941.369140625,21972.421875,21979.68359375,21985,21991.26171875,21980.7890625,21963.314453125,21986.94921875,22034.10546875,22048,22053.68359375,22056,22040,21978.8315429688,50.682205540116
45.24,21969,21954.736328125,21913.15625,21861.158203125,21890.2109375,21931.2109375,21915.26171875,21910.89453125,21959.421875,21989.52734375,22000.263671875,21993.419921875,21970,21972.841796875,21957.10546875,21999.26171875,22026.736328125,22028.263671875,22027.421875,22023,21964.6446289063,48.5618854170898
46.98,21931,21956.419921875,21917.31640625,21843,21869.47265625,21927.158203125,21898.421875,21874.630859375,21927.736328125,21996,21981,21977.052734375,21968.947265625,21971.3671875,21925.263671875,21932.263671875,21995.10546875,22025.10546875,22016.26171875,21981,21945.726171875,49.7228223337087
