Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity
1,0,0,22049.8419921875,273.412418501274
2,1,1.74,22002.9920898437,294.394264875235
3,2,3.48,21956.1528320312,314.294053477078
4,3,5.22,21896.8370117188,320.15064529811
5,4,6.96,21835.8837890625,319.808151440457
6,5,8.7,21767.8368164062,311.214617862379
7,6,10.44,21726.3103515625,300.243146037289
8,7,12.18,21664.0526367187,283.002859084114
9,8,13.92,21609.5130859375,274.782285776782
10,9,15.66,21543.2103515625,255.997597777317
11,10,17.4,21472.2500976563,244.797978704657
12,11,19.14,21394.368359375,214.008883955063
13,12,20.88,21339.0077148437,192.698538681651
14,13,22.62,21298.7051757813,171.264534561534
15,14,24.36,21287.0313476563,156.766276549795
16,15,26.1,21290.3791015625,131.734451842344
17,16,27.84,21308.694921875,108.84159202443
18,17,29.58,21329.8369140625,82.3638767641256
19,18,31.32,21361.7263671875,65.3878301492571
20,19,33.06,21382.5052734375,49.8119436515488
21,20,34.8,21414.3420898438,67.2736520906705
22,21,36.54,21448.9606445312,83.1670866075333
23,22,38.28,21490.2895507812,102.972872005814
24,23,40.02,21538.6077148438,112.813218614865
25,24,41.76,21599.644921875,113.025449072665
26,25,43.5,21659.9028320312,116.483029339285
27,26,45.24,21732.3658203125,120.035570591575
28,27,46.98,21793.3419921875,119.060308376587
29,28,48.72,21850.5130859375,116.827432645671
30,29,50.46,21913.8475585937,119.771308577369
31,30,52.2,21977.8051757812,117.406073193247
32,31,53.94,22033.1815429687,109.702859136002
33,32,55.68,22099.115625,106.587908054536
34,33,57.42,22143.9497070312,93.7788791994067
35,34,59.16,22187.3341796875,85.5339425674967
36,35,60.9,22216.3790039063,62.8167105126503
37,36,62.64,22251.5473632812,55.4812344637581
38,37,64.38,22299.4264648437,60.6293356171304
39,38,66.12,22352.8264648438,71.9193703083298
40,39,67.86,22403.9500976562,75.7746013881459
41,40,69.6,22459.6892578125,82.8827462864383
42,41,71.34,22504.7418945312,84.2015757565175
43,42,73.08,22543.155078125,88.7707239733903
44,43,74.82,22568.7184570312,77.6098569294406
45,44,76.56,22599.8,74.5401071784391
46,45,78.3,22639.2553710938,77.1649461274856
47,46,80.04,22685.7947265625,87.1087964035817
48,47,81.78,22733.7315429688,100.104941169189
49,48,83.52,22781.13671875,116.440280555537
50,49,85.26,22811.4764648437,127.892636682324
51,50,87,22835.6791015625,138.452005445561
52,51,88.74,22836.4185546875,133.479875656732
53,52,90.48,22831.8078125,118.074927145887
54,53,92.22,22836.2790039062,104.208063088207
55,54,93.96,22845.9212890625,88.137773110773
56,55,95.7,22859.5737304688,71.086479184992
57,56,97.44,22882.1997070312,67.1744676416703
58,57,99.18,22898.350390625,64.6851809651475
59,58,100.92,22913.8813476562,71.6012512703242
60,59,102.66,22918.0529296875,61.1602998009047
61,60,104.4,22929.2973632812,56.7626778906665
62,61,106.14,22951.5946289062,62.3302952966235
63,62,107.88,22982.9470703125,73.4760672079856
64,63,109.62,23017.1762695312,88.2724311748472
65,64,111.36,23050.539453125,105.995945510298
66,65,113.1,23071.0395507812,118.210978888932
67,66,114.84,23067.5423828125,142.641278953933
68,67,116.58,23043.5051757813,144.839763772152
69,68,118.32,23023.3419921875,149.212333777675
70,69,120.06,23022.3369140625,141.083532783185
71,70,121.8,23039.502734375,122.683986189595
