Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Mean,Std
17.4,23651,23663.421875,23678.47265625,23743.421875,23749.10546875,23739.89453125,23730.2109375,23726.421875,23730.630859375,23727.89453125,23752.10546875,23752.31640625,23727.89453125,23707.630859375,23673,23679.578125,23680.630859375,23690.73828125,23711.89453125,23692,23710.4131835938,31.9127473973091
19.14,23621,23615.841796875,23670.052734375,23700.10546875,23723.68359375,23732.10546875,23745.89453125,23763,23741.947265625,23717.263671875,23722,23709.84375,23706.052734375,23709,23709,23722.419921875,23690.6328125,23694.736328125,23677.052734375,23671,23702.131640625,37.4302015003356
20.88,23575,23611.68359375,23593.68359375,23646.578125,23673.736328125,23700.580078125,23754.89453125,23760.947265625,23745.7890625,23719.263671875,23697.158203125,23692.2109375,23680,23711.47265625,23726,23706.263671875,23704.369140625,23652.2109375,23665.89453125,23671,23684.4368164063,50.3911539437755
22.62,23571,23565.474609375,23538.419921875,23548.630859375,23596.2109375,23664.10546875,23743.052734375,23767.83984375,23739.841796875,23702.0546875,23668.89453125,23664.68359375,23671.2109375,23704.052734375,23732.474609375,23718.263671875,23695.31640625,23669.630859375,23647.10546875,23663,23663.5631835937,67.6185877188005
24.36,23600,23515.685546875,23491.580078125,23495.263671875,23551.47265625,23639.10546875,23723.421875,23777.89453125,23747.578125,23676.369140625,23630.578125,23619.47265625,23650.841796875,23697.2109375,23741,23763.6328125,23703.841796875,23666.052734375,23603.314453125,23596,23644.5158203125,86.982841253262
26.1,23504,23486.68359375,23465.6328125,23491.947265625,23533.2109375,23616.6328125,23655.052734375,23699.736328125,23697.421875,23652.31640625,23623.3671875,23614.052734375,23622.263671875,23644.369140625,23675.31640625,23697.421875,23683.31640625,23635.26171875,23610.10546875,23584,23609.60546875,74.9734514731107
27.84,23425,23404.158203125,23482.578125,23510.31640625,23516.208984375,23593.052734375,23613.3671875,23655.419921875,23647.421875,23633.580078125,23624.6328125,23587,23589.31640625,23580.158203125,23611.525390625,23648.89453125,23619.630859375,23642.52734375,23594.841796875,23559,23576.9315429687,73.1153943944483
29.58,23333,23372.947265625,23421.263671875,23529.263671875,23511.158203125,23545.630859375,23576.158203125,23599.31640625,23610.052734375,23603.263671875,23594.31640625,23571.052734375,23544.947265625,23524.89453125,23522.89453125,23548.68359375,23561.73828125,23559.421875,23570.369140625,23538,23531.9186523437,74.1880135408096
31.32,23225,23288.52734375,23400.2109375,23506.68359375,23519.314453125,23511.94921875,23506.158203125,23509.2109375,23525,23521.2109375,23534.3671875,23540.736328125,23507.47265625,23483.10546875,23460.578125,23480.841796875,23501.47265625,23519.2109375,23553.2109375,23530,23481.2130859375,84.0452012028796
33.06,23129,23190.73828125,23267.26171875,23356.578125,23417.421875,23438.2109375,23447.47265625,23446.419921875,23450.6328125,23430.369140625,23415.10546875,23433.7890625,23427.68359375,23419.73828125,23408.474609375,23414.26171875,23413.6328125,23413,23416.7890625,23408,23387.2290039062,87.8498227015756
34.8,23008,23105.10546875,23139,23265.89453125,23314.31640625,23357.736328125,23415.525390625,23393.3671875,23359.89453125,23325.94921875,23286.47265625,23311.52734375,23308.7890625,23349.841796875,23373.947265625,23332.3671875,23342.052734375,23289.6328125,23306.68359375,23283,23293.4551757813,100.247275778419
36.54,22916,22952.52734375,23022.6328125,23088.7890625,23158.68359375,23242.6328125,23320.736328125,23343.2109375,23243.421875,23170.158203125,23121.736328125,23108,23137.052734375,23216.947265625,23298.31640625,23234.10546875,23187.580078125,23157.052734375,23122.736328125,23095,23156.866015625,112.053462147582
38.28,22828,22788.94921875,22829.26171875,22886.6328125,22980.314453125,23109.7890625,23215.578125,23233.31640625,23097.947265625,22954.3671875,22914.89453125,22914.68359375,22970.68359375,23081.2109375,23163.73828125,23133.2109375,22976.158203125,22915.89453125,22860.841796875,22899,22987.7236328125,134.141250072034
40.02,22607,22652.791015625,22659.525390625,22755,22807.2109375,22898.263671875,22954.26171875,22973.7890625,22919.26171875,22822.421875,22767.68359375,22766.6328125,22801.578125,22842.578125,22871.419921875,22865.3671875,22819.89453125,22755.630859375,22749,22732,22801.0655273438,97.8786168117826
41.76,22440,22452.94921875,22532.31640625,22606.31640625,22646.736328125,22734.369140625,22755.52734375,22779.26171875,22721.7890625,22669.0546875,22658.52734375,22623.6328125,22637.52734375,22635.89453125,22640.525390625,22648.158203125,22610.263671875,22614.630859375,22611.26171875,22574,22629.637109375,86.5132047396524
43.5,22252,22289.052734375,22357.68359375,22471.94921875,22472.3671875,22522.89453125,22556.68359375,22583.47265625,22561.578125,22524.2109375,22537.3671875,22499.736328125,22434.47265625,22419,22428.578125,22445.419921875,22473.419921875,22478,22513.052734375,22449,22463.4969726562,86.0029889862592
45.24,22119,22153.052734375,22256.736328125,22364.3671875,22361,22365.47265625,22380.52734375,22396.68359375,22402.7890625,22397.84375,22437.31640625,22417.578125,22317.158203125,22271.52734375,22260.158203125,22283.052734375,22328.73828125,22410.263671875,22447.421875,22386,22337.834375,89.8808776631305
46.98,22031,22038.10546875,22101.052734375,22167.47265625,22210,22247.6328125,22270.263671875,22280.736328125,22274.6328125,22248,22245.89453125,22239.3671875,22196.2109375,22173,22175.947265625,22203.841796875,22214.369140625,22248.10546875,22268.10546875,22273,22205.3369140625,74.065672335624
48.72,21981,22020.7890625,21988.474609375,22055.31640625,22081.841796875,22129.2109375,22178.158203125,22188.7890625,22167.947265625,22137.31640625,22113.10546875,22107.47265625,22078.6328125,22096.47265625,22125.73828125,22115.2109375,22145.52734375,22118.89453125,22169.947265625,22194,22109.6922851562,61.5263890872339
50.46,21977,21954.052734375,21922.89453125,21959.947265625,21993.419921875,22049.736328125,22106.052734375,22150.578125,22096.26171875,22035.158203125,22004.10546875,22003.68359375,22007.052734375,22050.369140625,22111.73828125,22067.7890625,22058.736328125,22037.630859375,22054.89453125,22081,22036.105078125,58.5783000210545
52.2,22023,21974.158203125,21921.2109375,21912,21957.892578125,22024.47265625,22083.31640625,22116.736328125,22069.369140625,22007.16015625,21978.2109375,21973.841796875,22007.52734375,22062.68359375,22109,22079.525390625,21998.26171875,21959.052734375,21956,21990,22010.1709960938,59.8021797926933
53.94,22006,22002.947265625,21948.419921875,21953.26171875,21965.26171875,21996.052734375,22036.158203125,22053.05078125,22034.10546875,22005.0546875,22002.421875,22007.68359375,22008.525390625,22027.10546875,22035,22012.10546875,21978.208984375,21924.68359375,21930.369140625,21931,21992.8708007812,38.6663945711045
55.68,22023,21998.89453125,22009.630859375,21964,21966.736328125,21977,21987.419921875,22017.736328125,22015.421875,22007.73828125,22014.052734375,21996.73828125,22002.630859375,22001.7890625,21995.052734375,21980.578125,21902.89453125,21885.421875,21861.31640625,21856,21973.2026367188,52.8701028235065
57.42,22015,22035,22032.89453125,22011.68359375,21990.419921875,21972.52734375,21961.263671875,21973.578125,21996.73828125,22010.263671875,22023.421875,22014.2109375,21999.47265625,21983.630859375,21949,21926.369140625,21873.314453125,21838.052734375,21842.580078125,21810,21962.97109375,69.0557842410886
59.16,22040,22065,22063.630859375,22048.052734375,22020.89453125,21990.369140625,21964.89453125,21958.947265625,21971.158203125,22000.89453125,22036.158203125,22026,21994.2109375,21956.947265625,21913.052734375,21905.158203125,21870.630859375,21845.2109375,21855.31640625,21814,21967.0263671875,76.5602887895751
60.9,22123,22105.791015625,22098.9453125,22071.736328125,22062.26171875,22044.3671875,22020.474609375,22013.15625,21996.10546875,22002.580078125,22019.947265625,21998.421875,21990,21972.2109375,21958.10546875,21952.841796875,21888.841796875,21873.419921875,21864.474609375,21839,21994.7840820312,81.140049765352
62.64,22198,22214.84375,22142.630859375,22162.947265625,22147.578125,22131,22124.68359375,22095.525390625,22063.52734375,22032.31640625,22010.73828125,22005.158203125,22000.525390625,22021.841796875,22031,22004.9453125,21962.6328125,21892.474609375,21901.10546875,21873,22050.8237304688,99.9366938265708
64.38,22290,22270.84375,22232,22231.208984375,22224.47265625,22213.947265625,22206.89453125,22179.578125,22121.89453125,22068,22034.841796875,22020.68359375,22024.052734375,22041.3671875,22072.31640625,22064.421875,22011.158203125,21950.10546875,21920.31640625,21914,22104.6051757812,118.379682104566
66.12,22436,22397.421875,22366.3671875,22344.630859375,22355.15625,22378.578125,22359.841796875,22320.10546875,22241.7890625,22149.73828125,22079.73828125,22043.3671875,22058.31640625,22094.31640625,22155.369140625,22169.841796875,22088.15625,22009.474609375,21978.31640625,22006,22201.6262695313,154.264895855186
67.86,22511,22493.421875,22465.421875,22468.369140625,22469.419921875,22487.052734375,22474.2109375,22410.89453125,22322.26171875,22221.6328125,22140.578125,22100.52734375,22105.7890625,22149.2109375,22195.947265625,22193.578125,22147.89453125,22095.263671875,22086.2109375,22098,22281.8342773438,169.114861638758
69.6,22657,22616.421875,22623.15625,22619.947265625,22647.9453125,22662.947265625,22614.947265625,22550.3671875,22452.052734375,22348.369140625,22262.578125,22214.3671875,22234.369140625,22250.736328125,22274.10546875,22294.6328125,22255.89453125,22218.47265625,22187.52734375,22219,22410.2418945312,188.540713524476
71.34,22812,22803,22806.15625,22836.947265625,22861.3671875,22866.3671875,22821.31640625,22736.10546875,22639.26171875,22548.580078125,22471.736328125,22420.89453125,22412.052734375,22421.158203125,22432.841796875,22439.158203125,22429.89453125,22394,22390,22407,22597.4918945312,194.394977891545
73.08,23037,23041.2109375,23050.263671875,23099.73828125,23128.3671875,23132.31640625,23084.31640625,23003.89453125,22924.10546875,22835.158203125,22753.578125,22699.052734375,22664.736328125,22654.26171875,22662.580078125,22669.158203125,22655.68359375,22645.84375,22652.580078125,22661,22852.7422851563,197.621118404588
74.82,23300,23293.10546875,23316.052734375,23348.474609375,23389.314453125,23404.052734375,23363.2109375,23313.525390625,23255.421875,23164.6328125,23070.421875,23004.052734375,22959,22927.89453125,22938.421875,22958.419921875,22930,22935.630859375,22920.896484375,22937,23136.4764648437,191.772011566915
76.56,23509,23537.10546875,23525.841796875,23567.630859375,23576.26171875,23603.89453125,23615.263671875,23575.05078125,23532.10546875,23455.68359375,23363.578125,23284.73828125,23214.421875,23201.47265625,23216.52734375,23213.89453125,23205.263671875,23192.369140625,23191,23171,23387.6051757812,174.058957071546
78.3,23671,23678.896484375,23660.26171875,23672.421875,23688.841796875,23729.6328125,23751,23741.7890625,23702.84375,23625.52734375,23529.2109375,23441.68359375,23382.10546875,23364.263671875,23381.421875,23391.158203125,23370.94921875,23348.2109375,23318.525390625,23296,23537.2872070313,167.38505581327
